Id,SalePrice
1461,118772.34027720595
1462,155265.65576721853
1463,179288.2072323403
1464,198800.01191250567
1465,191194.88568853185
1466,168791.6606828586
1467,170929.2970510816
1468,165792.98175962453
1469,189962.35249502806
1470,125713.18327114143
1471,182797.51873650594
1472,97583.96244226258
1473,95842.97116775392
1474,145722.4307994956
1475,117351.50308309845
1476,372093.1025244821
1477,254353.946250824
1478,319861.9075398095
1479,322961.0409488076
1480,481112.91662890546
1481,339378.26074759004
1482,224871.460528609
1483,169237.5424221542
1484,171724.021430385
1485,196959.69849206723
1486,191838.68480819676
1487,324628.7989249381
1488,234415.75915654525
1489,195580.9520913079
1490,222301.53877414943
1491,193362.65836828126
1492,86666.42420546396
1493,193631.7968217516
1494,279045.84387717064
1495,279924.0962447317
1496,231518.12754599578
1497,171212.12985565947
1498,173521.4388696092
1499,166730.60378443627
1500,158104.85418351874
1501,172315.0676743939
1502,155181.23446971393
1503,280541.9761778489
1504,240175.49296632124
1505,220899.34384818218
1506,184088.64236351388
1507,237690.69345973595
1508,197345.03767392907
1509,170466.33053604676
1510,143967.41156370388
1511,143076.8882240595
1512,160900.22902679798
1513,149826.0264356082
1514,132599.8955426201
1515,203421.1948302298
1516,148134.67085007043
1517,154762.0930285069
1518,128173.77369372897
1519,205874.14636990952
1520,132305.50347329068
1521,133478.13834672453
1522,167375.97521013595
1523,113995.75642420076
1524,124189.49751889796
1525,121009.3755801068
1526,112087.567787696
1527,103434.64678077861
1528,131194.2566177036
1529,155689.32271070773
1530,184995.39807894576
1531,112509.05760599162
1532,94475.33431576873
1533,137718.0365296441
1534,121932.86629472162
1535,146456.24861108343
1536,109402.95939464972
1537,70258.89936382661
1538,139426.09925170965
1539,190022.097979301
1540,88219.29632298648
1541,153841.5986608634
1542,140763.64598373877
1543,199679.03071516484
1544,78072.93332429088
1545,111698.1234892141
1546,139803.5998289344
1547,138981.65904834424
1548,136070.5826136973
1549,119528.08646388067
1550,136887.66254066443
1551,100470.90640537135
1552,134005.4370261252
1553,138994.95978272916
1554,118943.05158722098
1555,166184.0369151122
1556,89582.6794056397
1557,99023.27804846806
1558,99330.12476215551
1559,90256.73868438636
1560,136073.04173409136
1561,112962.56539567155
1562,132648.71558963557
1563,122098.28754621689
1564,152962.4489619303
1565,149703.42913709924
1566,241475.52850267806
1567,78069.73980637125
1568,228335.88186803792
1569,125404.85086746041
1570,144765.18314812615
1571,114242.55144763435
1572,138004.23498673984
1573,231709.00064670175
1574,115469.77473315597
1575,216063.68232482113
1576,241820.3085833093
1577,196737.6798335039
1578,144620.22131041263
1579,137218.44538679783
1580,201676.35129463635
1581,150957.002801012
1582,133001.97610647965
1583,290835.16976916406
1584,219681.83713646134
1585,139522.52081132605
1586,70229.31182418238
1587,104017.529832964
1588,151084.22832669795
1589,95818.40149064807
1590,135085.1635854008
1591,94579.14530547005
1592,116955.10491592363
1593,121364.75970552524
1594,143945.00524980947
1595,121388.46033695963
1596,234450.45495850994
1597,200347.8118125665
1598,219057.7453117477
1599,172685.45670772222
1600,166604.25072261505
1601,67416.78063866092
1602,109136.51957463683
1603,78833.83162219892
1604,267128.445611244
1605,244460.08301412806
1606,170057.6739541347
1607,173155.7473227206
1608,219744.47926166357
1609,184978.63872721343
1610,151554.54249085722
1611,138553.62087682786
1612,175190.17338225595
1613,165277.59497479378
1614,122409.91572470203
1615,88373.97472446851
1616,76474.3940554393
1617,91841.77203998176
1618,131273.16361835966
1619,138274.9648062886
1620,195234.99493387534
1621,139136.13358842616
1622,138221.62065040355
1623,267892.78389158356
1624,207438.69729089312
1625,116543.3867027412
1626,164865.78867756276
1627,185772.7494873518
1628,294215.166242216
1629,188906.0869612504
1630,347018.5335805974
1631,222075.4087557032
1632,239312.41387809484
1633,183461.74515927516
1634,185846.47873793502
1635,177311.35837091942
1636,158161.7138029883
1637,186218.86051596625
1638,185908.45026289352
1639,183485.8698885722
1640,255472.68038373196
1641,177749.96492760908
1642,244588.80386154616
1643,225625.8791592959
1644,243841.11478340055
1645,196761.0572721121
1646,163669.0135892317
1647,161548.90959637862
1648,134771.11470043974
1649,143625.0418376086
1650,114310.15584993771
1651,127755.81302105747
1652,97491.12416282058
1653,102645.6756129174
1654,145625.88727957828
1655,147158.75211551995
1656,143510.28789865793
1657,149422.92130709306
1658,146582.76634838327
1659,124314.89845723199
1660,155753.71913766413
1661,437578.35741599544
1662,409078.630041866
1663,369316.3295166198
1664,485915.6531869415
1665,306444.68878145795
1666,316948.52702443325
1667,377644.5470615202
1668,342981.66066601436
1669,308711.781762758
1670,343209.43976181967
1671,246405.9339228652
1672,416795.55038810114
1673,299386.394106267
1674,244810.37104105216
1675,196416.1317992442
1676,190030.46123619733
1677,219462.62898160476
1678,451309.7575590733
1679,387468.6245072639
1680,349364.1525013976
1681,255436.1872838945
1682,302676.6741144523
1683,187873.96616581327
1684,183162.10310057097
1685,173823.52085233264
1686,180884.08550302003
1687,178604.0251786815
1688,188215.76604268223
1689,193978.79317885515
1690,195623.31896774098
1691,191446.3927635552
1692,267604.04957326874
1693,186512.430045297
1694,187153.35748100517
1695,172861.19249838695
1696,270454.55453306047
1697,181594.94655832672
1698,338437.3864576706
1699,309709.0990384444
1700,243570.50245761825
1701,260956.32787881212
1702,241787.65614457772
1703,255633.71575924728
1704,266029.97082659515
1705,244025.91981527832
1706,409682.67992569203
1707,212081.81463718804
1708,202816.00726467554
1709,259345.42257383632
1710,235391.22660706073
1711,273233.5301502385
1712,264729.3270632854
1713,265225.91590328596
1714,223077.4799091337
1715,209839.45986905214
1716,180526.81664209891
1717,179696.6145165696
1718,136317.93831459928
1719,203328.10319186217
1720,234913.1466316977
1721,161386.97698730667
